Source: https://www.ine.es/dyngs/INEbase/es/operacion.htm?c=Estadistica_C&cid=1254736177009&menu=resultados&secc=1254736195497&idp=1254734710990
Frecuencias de apellidos,,,,
Apellidos con frecuencia mayor o igual que 20 y menor o igual que 99 en el primer apellido,,,,
Estadística del Padrón Continuo a fecha 01/01/2018,,,,
,,Apellido 1º,Apellido 2º,Ambos apellidos
Orden,Apellido,Total,Total,Total
25532,MOUTEIRA,99,176,..
25533,ODRIA,99,143,..
25534,MASSUET,99,138,..
25535,GUAPACHA,99,133,5
25536,MOY,99,132,..
25537,NANTES,99,129,..
25538,FERRADAL,99,128,..
25539,CIURANETA,99,127,..
25540,DE TOLEDO,99,126,..
25541,GARRAMIOLA,99,126,..
25542,PIÑANGO,99,126,..
25543,PEÑAMARIA,99,119,..
25544,ALBIS,99,116,..
25545,SASTRIQUES,99,116,..
25546,CORCOLL,99,115,..
25547,PORTALATIN,99,115,..
25548,ARENGA,99,114,..
25549,CARROMERO,99,114,..
25550,RAIDO,99,112,..
25551,VALIEN,99,112,..
25552,APARCERO,99,111,..
25553,FARGUES,99,111,..
25554,USATORRE,99,111,..
25555,ASPIROZ,99,110,..
25556,LEVIA,99,110,..
25557,SALINA,99,109,..
25558,FISICO,99,108,..
25559,TALLAFET,99,108,..
25560,GOLF,99,107,..
25561,MAQUIRRIAIN,99,107,..
25562,SANTA ANA,99,107,..
25563,ALFONSEA,99,105,..
25564,LOPEZ DE ZUBIRIA,99,105,..
25565,MESSEGUER,99,105,..
25566,VIRACOCHA,99,105,..
25567,MARIZ,99,104,8
25568,DA VEIGA,99,104,..
25569,IPIALES,99,104,..
25570,QUINQUILLA,99,104,..
25571,ALCORISA,99,103,..
25572,LESTEGAS,99,103,..
25573,MILLAT,99,103,..
25574,MORAIRA,99,103,..
25575,MARCIANES,99,102,..
25576,AGROMAYOR,99,101,..
25577,HUMARA,99,101,..
25578,CASAREJOS,99,100,..
25579,GONZALEZ CAMPO,99,100,..
25580,PEREZ BUSTOS,99,100,..
25581,TRECHERA,99,100,..
25582,BARAZON,99,98,..
25583,DANCAUSA,99,98,..
25584,ESCOLIES,99,98,..
25585,GENSANA,99,98,..
25586,PEREZ DEL PULGAR,99,98,..
25587,ZUBIKARAI,99,98,..
25588,ELCACHO,99,96,..
25589,MIRAL,99,96,..
25590,SANGUINETTI,99,96,..
25591,CELIX,99,95,..
25592,ECHEITA,99,95,..
25593,ALCAHUD,99,94,..
25594,CAUSERA,99,94,..
25595,MASSANES,99,93,..
25596,EMILIANO,99,92,..
25597,FAMBUENA,99,92,..
25598,RECOBER,99,92,..
25599,TURELL,99,92,..
25600,BERRIZBEITIA,99,90,..
25601,PIULACHS,99,90,..
25602,CASAOS,99,89,..
25603,GAMAYO,99,89,..
25604,RUIX,99,89,..
25605,SEMPRUN,99,89,..
25606,LA RODA,99,88,..
25607,PAMPARA,99,88,..
25608,ALBAJARA,99,87,..
25609,LAMUEDRA,99,87,..
25610,ARANDES,99,86,..
25611,BRUNEL,99,86,..
25612,DIAZ DE BUSTAMANTE,99,85,..
25613,SAN LAZARO,99,85,..
25614,AIXUT,99,84,..
25615,BERLIN,99,82,..
25616,DE OÑA,99,82,..
25617,POLES,99,81,..
25618,AREQUIPA,99,80,..
25619,BUZZIAN,99,80,..
25620,LEZAMETA,99,80,..
25621,ZAMAR,99,80,..
25622,GARCIA PASCUAL,99,79,..
25623,ELARRE,99,78,..
25624,VIGARIO,99,78,..
25625,RISALDE,99,77,..
25626,RARIS,99,76,..
25627,ALCHAPAR,99,75,..
25628,DE LINARES,99,75,..
25629,PINI,99,75,..
25630,VALDELLOS,99,75,..
25631,CARALPS,99,74,..
25632,BARREU,99,72,..
25633,BUYEMA,99,72,..
25634,CANTONERO,99,72,..
25635,TAZA,99,72,..
25636,GORRO,99,71,..
25637,PURSALS,99,71,..
25638,CIFRES,99,70,..
25639,PORTALS,99,69,..
25640,FERNANDEZ GALLARDO,99,68,5
25641,BERGUÑO,99,68,..
25642,BRIÑON,99,67,..
25643,SANCHEZ MARIN,99,67,..
25644,OLABUENAGA,99,66,..
25645,SANCHEZ MOLERO,99,66,..
25646,AUQUILLA,99,64,..
25647,MURUAIS,99,64,..
25648,LAYNA,99,63,5
25649,CLAUDEL,99,62,..
25650,MADURO,99,62,..
25651,JATRI,99,61,..
25652,MORABET,99,61,..
25653,PUIGDERRAJOLS,99,61,..
25654,SUAREZ VARELA,99,61,..
25655,PESCE,99,58,..
25656,NEDYALKOV,99,57,5
25657,ARJO,99,56,..
25658,ANSEDES,99,53,..
25659,PENCHEVA,99,50,6
25660,GATTO,99,49,..
25661,HESSE,99,48,..
25662,HAMMAN,99,47,..
25663,EL HADAD,99,42,..
25664,ULRICH,99,41,..
25665,OUTMANI,99,40,..
25666,FRANZ,99,37,..
25667,HADDACH,99,37,..
25668,MARONG,99,37,..
25669,AZOUZI,99,36,..
25670,WILHELM,99,36,..
25671,BENTAHER,99,35,..
25672,HUMA,99,35,..
25673,BEN CHEIKH,99,33,..
25674,CHIKH,99,33,..
25675,HEINRICH,99,32,..
25676,LABYAD,99,31,..
25677,EL MOURABET,99,30,5
25678,EL HALLAOUI,99,29,..
25679,OSARO,99,28,..
25680,GARGIULO,99,25,..
25681,FULOP,99,24,..
25682,AMROUCH,99,23,..
25683,GAKOU,99,23,..
25684,SAUER,99,23,..
25685,EL MARRAKCHI,99,22,..
25686,SAVANE,99,22,..
25687,ZAYTSEVA,99,22,..
25688,AZARFANE,99,21,..
25689,LEES,99,18,..
25690,EL BOUKILI,99,17,..
25691,EL FALLAH,99,16,..
25692,EL GHAYAT,99,15,..
25693,TAHRAOUI,99,14,..
25694,ATTAOUI,99,12,..
25695,ISHTIAQ,99,12,..
25696,NABI,99,12,..
25697,VOVK,99,12,..
25698,WAHAB,99,12,..
25699,ACATRINEI,99,11,..
25700,ROSENOVA,99,11,..
25701,HINCU,99,10,..
25702,ASHIQ,99,9,..
25703,RUPA,99,9,..
25704,POSTELNICU,99,8,..
25705,BOBEICA,99,7,..
25706,DOROFTEI,99,7,..
25707,BENEA,99,6,..
25708,GAMAN,99,5,..
25709,AMILLO,98,168,..
25710,JEREMIAS,98,161,..
25711,FAMADAS,98,146,..
25712,AGRUÑA,98,141,..
25713,MOSQUEA,98,141,..
25714,RUBAU,98,129,..
25715,BERISA,98,128,6
25716,LERIS,98,128,..
25717,SALIP,98,123,..
25718,BALDOR,98,122,..
25719,JOSENDE,98,122,..
25720,MANOTA,98,121,..
25721,SERA,98,121,..
25722,FERRERONS,98,119,..
25723,DECENA,98,118,..
